ID,target
0,C
1,A
3,T
4,B
5,C
6,C
7,C
8,C
9,C
12,C
13,C
14,C
16,D
18,B
19,D
20,C
21,A
23,B
24,D
25,C
26,D
27,C
32,C
33,C
34,C
35,C
36,A
37,B
38,D
39,A
40,A
41,D
42,C
43,C
44,D
45,B
46,C
47,C
48,C
49,T
50,C
51,D
52,A
54,B
56,D
57,C
59,D
60,A
61,A
62,B
63,B
64,D
65,C
66,C
67,D
68,D
69,B
70,D
71,D
72,D
73,C
74,B
75,B
76,C
77,D
78,A
79,B
80,C
82,D
83,A
84,A
87,C
88,C
90,D
91,A
92,D
94,C
95,C
96,C
97,A
98,A
99,A
100,C
101,D
103,C
104,D
105,C
106,C
107,A
109,D
110,B
111,C
112,C
113,D
115,C
116,D
117,B
118,B
119,D
120,A
122,B
123,D
124,B
125,C
126,B
127,C
128,B
129,B
130,C
131,D
132,C
133,C
134,T
135,C
136,C
139,C
140,B
142,D
143,C
144,B
145,B
146,C
147,D
148,C
150,D
151,B
152,C
153,D
154,C
155,C
156,A
157,D
158,B
159,C
160,A
161,A
162,C
163,C
164,B
633,B
635,A
639,B
640,C
641,C
642,C
643,C
644,B
645,C
646,C
647,B
649,C
651,C
652,B
653,B
654,D
660,A
661,C
662,A
663,A
665,C
666,C
667,A
668,A
669,B
670,C
671,D
673,B
674,C
675,D
676,A
677,A
679,A
680,C
681,D
683,D
684,C
685,C
687,C
688,C
689,C
690,A
692,B
693,A
694,C
695,C
696,C
698,D
699,C
700,C
701,A
702,C
703,A
704,C
705,A
706,B
707,C
708,C
709,B
710,B
711,B
712,C
713,D
714,C
715,C
716,B
717,B
718,A
719,C
720,B
721,C
722,C
724,C
725,B
726,A
727,C
728,C
730,C
731,C
732,C
733,B
735,A
736,D
737,C
738,A
739,B
741,B
742,C
743,A
744,B
745,A
747,D
748,D
749,A
750,C
751,B
752,A
753,C
754,C
755,D
756,D
758,A
759,C
760,C
762,B
763,B
764,A
765,C
766,B
767,C
768,C
769,B
771,C
772,C
773,A
774,D
775,A
776,B
777,C
780,C
781,C
782,B
785,A
786,A
787,A
788,B
789,C
790,B
791,B
792,A
794,D
795,C
797,B
798,D
799,C
800,B
801,B
802,D
803,D
804,D
806,C
807,A
808,C
810,C
811,B
812,A
814,C
815,A
816,C
817,D
818,C
819,D
820,C
822,B
823,A
824,D
825,C
826,D
829,C
830,D
831,C
832,D
833,C
985,A
986,B
987,C
988,C
989,D
991,A
992,C
993,C
